name,addr
송쌤교실,"경기 성남시 분당구 장미로 139 (야탑동, 매화마을주공2단지아파트)"
평택동삭교실,"경기 평택시 동삭로 386 (동삭동, 현대아파트)"
원당 지인논술교실,충청남도 당진시 원당동 그린빌아파트
보성원 올리브교실,중국 북경시 조양구 왕징 보성원 108동-8단원-1A
EL교실,경기도 의정부시 신곡1동 702~721
"송파한양1,2차교실",서울 송파구 방이동 224-10
장성해법독서논술교실,전라남도 장성군 장성읍
일원즐거운논술교실,서울특별시 강남구 수서동 까치마을아파트
통영 죽림교실,경상남도 통영시 광도면
화곡 아카데미 영재원,서울특별시 강서구 화곡동
동작구민체육센터,서울특별시 동작구 여의대방로 16길 53
오산운암라임교실,"경기 오산시 운암로 64 (오산동, 대동아파트)"
뿌리깊은 교실,"서울 양천구 중앙로52길 38 (신정동, 제일미노빌)"
신포 아이파크 교실,경상남도 창원시 마산합포구 신포동1가 신포동마산만아이파크아파트 (101~106동)
버드내해법독서논술교,"대전 중구 태평로 15 (태평동, 버드내마을아파트)"
진해 용원교실*,경상남도 창원시 진해구 안골동
신천 최샘교실,경기도 시흥시 신천동 876-15
봉명 이플교실*,충북 청주시 흥덕구 덕암로108번길 69 (봉명동)
돈암1교실,서울특별시 성북구 동소문동7가
구의초교실,서울특별시 광진구 구의동
강릉 스터디멘토+,강원도 강릉시 노암동 607번지
장안 해찬숲교실,경기도 수원시 장안구 이목동
양구백샘교실+,강원도 양구군 양구읍
해들교실,"세종특별자치시 대평로 80 (대평동, 해들마을 6단지)"
길음뉴타운9단지교실+,서울특별시 성북구 길음동
나운삼성교실+,전라북도 군산시 나운동
동패교실,"경기 파주시 동패로 117 (동패동, 벽산아파트)"
몽당연필교실,경기도 고양시 일산동구 정발산동
정관롯데캐슬2차교실,부산광역시 기장군 정관면 모전리 롯데캐슬2차아파트
매탄 빛글,경기도 수원시 영통구 매탄4동 현대아파트
가좌 글사랑,인천광역시 서구 가좌동
동탄푸른마을교실,"경기 화성시 10용사로 349-5 (능동, 스타타워)"
생각이크는교실,경기도 수원시 장안구 정자3동 한라비발디아파트
정릉차쌤교실,서울 성북구 서경로 30 (정릉동)
풍림휴먼교실,경기도 수원시 장안구 정자2동
오렌지교실,대전 동구 가양동 30-21
주약교실,경상남도 진주시 주약동 주약현대아파트
오산대우교실,"경기 오산시 청학로173번길 21 (수청동, 오산대우아파트)"
홍쌤,대전 대덕구 덕암동 58-30
달빛1교실,경기도 고양시 덕양구 화정1동 달빛마을2단지아파트
화성2힐스테이트,"경기 화성시 동탄순환대로19길 59 (목동, 힐스테이트 동탄)"
마음나눔창,경기도 고양시 일산서구 구산동
진월토론하는아이들,광주광역시 남구 진월동
금광 글고운교실,경기도 성남시 중원구 금광2동
신명독서논술,서울특별시 강남구 논현동
상암통통통논술교실,서울특별시 마포구 상암동
신창부영교실,광주광역시 광산구 신창동
길음대림교실,서울특별시 성북구 길음동
원주 김보민교실,강원도 원주시 태장1동 성호샤인힐즈2차아파트 (201~205동)
이진글숲교실,부산광역시 기장군 기장읍 대라리 이진캐스빌
하남창우교실,경기도 하남시 창우동 꿈동산 신안아파트
J클래스독서논술국어,"경기 고양시 덕양구 화중로 32-21 (화정동, 테마파크)"
토론과 논술,경기 성남시 분당구 판교동 562-8
강북우이교실,서울특별시 강북구 우이동
가정 책사랑,"인천 서구 봉오재3로 11 (가정동, 루원제일풍경채 아파트)"
한샘국어논술교실,전라남도 강진군 강진읍 평동리
독한 논술 강한 수학,"경북 상주시 복룡3길 25 (복룡동, 상주2차우방타운)"
세종 셀파이룸,세종특별자치시  종촌동
은행나무 봉덕 교실,대구광역시 남구 대명5동
정선 한민족독서논술교실,강원도 정선군 정선읍 봉양리
정릉풍림1교실,서울특별시 성북구 정릉4동
거제옥포덕산더탑,"경남 거제시 옥포로 305 (옥포동, 덕산4차아파트)"
군산)지곡교실,전라북도 군산시 지곡동
휴먼시아 해법논술,대전광역시 유성구 봉산동 하늘바람휴먼시아아파트 (101~113동)
해냄국어논술,강원 동해시 천곡동 1085-1
양산 신기 한마음교실,경상남도 양산시 신기동 한마음아파트
무원향샘교실,경기도 고양시 덕양구 행신2동 무원마을2단지아파트
거인의어깨교실,전라북도 익산시 영등동
생각의 숲,"울산 북구 신천로 105 (중산동, 오토밸리로 효성해링턴 플레이스)"
꿈다락교실,"서울 영등포구 도영로 66 (도림동, 영등포아트자이아파트)"
사당즐거운교실,서울 동작구 사당로 247 (사당동)
동탄기산교실,"경기 화성시 동탄지성로 292 (기산동, 행복마을 울트라참누리아파트2단지)"
철산 꿈꾸는논술,경기도 광명시 철산동
장암동아교실,경기도 의정부시 장암동 장암동아아파트
정읍)수성부영교실,전라북도 정읍시 수성동 부영2차아파트 (201~210동)
해법 가흥교실,경북 영주시 가흥동 1852
부영2차,"제주특별자치도 제주시 과원로 11 (노형동, 부영아파트)"
강내 해법 독서 교실,충청북도 청주시 흥덕구 강내면 월곡리
덕송 교실,대전광역시 유성구 구암동 1~598
평택용이교실,"경기 평택시 현신7길 43 (용이동, 용이 반도유보라아파트)"
그린나래,경상북도 영주시 하망동 코오롱아파트 2차
더올림 해법교실,"경북 봉화군 봉화읍 교촌길 41 (내성리, 삼영주택)"
래미안월곡교실,서울특별시 성북구 하월곡동
맑은논술,경기도 김포시 양촌읍 학운리 금빛마을김포양촌자연앤데시앙아파트 (101~113동)
가운교실,경기도 남양주시 가운동
해법독서논술 생각통통교실,서울특별시 종로구 명륜1가
대방대동아파트,"경남 창원시 성산구 대정로 138 (대방동, 대방대동아파트)"
민락이미영해법독서교,경기도 의정부시 민락동 대우푸르지오아파트
고읍 우미린교실,경기도 양주시 고읍동
